आफ्रिकाखण्डः	Африка
९२	92 год
५९७	597 год
३२९	329 год
१३३	133 год
४१३	413 год
२५८	258 год
२५९	259 год
१९६	196 год
२३६	236 год
७८९	789 год
३३२	332 год
६३१	631 год
४८७	487 год
६३८	638 год
४७३	473 год
१७६	176 год
१४३	143 год
६४३	643 год
५२३	523 год
२१५	215 год
१४८	148 год
२४७	247 год
४२४	424 год
६४१	641 год
४९२	492 год
६३९	639 год
२५६	256 год
४४१	441 год
१३१	131 год
१९१	191 год
४५०	450 год
६१२	612 год
६३५	635 год
६११	611 год
५३४	534 год
४८८	488 год
६०७	607 год
५२४	524 год
२८२	282 год
४७२	472 год
४७१	471 год
४९०	490 год
३१६	316 год
७९७	797 год
५११	511 год
सन्तरणक्रीडा	Плавание
२९५	295 год
५९८	598 год
३०३	303 год
२५०	250 год
५१५	515 год
५१२	512 год
४१८	418 год
३३३	333 год
२९४	294 год
२१७	217 год
२७७	277 год
५७८	578 год
३१२	312 год
२८४	284 год
२८३	283 год
२४१	241 год
मेषराशिः	Овен (знак зодиака)
२४३	243 год
२६२	262 год
४९८	498 год
३३६	336 год
३३४	334 год
२६६	266 год
मुष्टिकाताडनक्रीडा	Бокс
२६१	261 год
४७०	470 год
३४९	349 год
२७१	271 год
२७५	275 год
२९२	292 год
२९६	296 год
३४५	345 год
४३१	431 год
३०४	304 год
५५०	550 год
५८६	586 год
५८८	588 год
५५४	554 год
२२९	229 год
५८३	583 год
२६५	265 год
२६३	263 год
५८५	585 год
५८२	582 год
५५६	556 год
४२०	420 год
२८०	280 год
५८१	581 год
५५८	558 год
३०२	302 год
३०९	309 год
३५३	353 год
३३५	335 год
३६७	367 год
३४४	344 год
२४५	245 год
२९०	290 год
४४९	449 год
३०८	308 год
२५५	255 год
४३९	439 год
३१९	319 год
३१८	318 год
२९९	299 год
४१९	419 год
४१६	416 год
३३८	338 год
३१०	310 год
३१५	315 год
३५९	359 год
३६०	360 год
२७३	273 год
२८६	286 год
२८८	288 год
२७८	278 год
४५५	455 год
५७७	577 год
५७५	575 год
४८२	482 год
४८६	486 год
५८०	580 год
५६७	567 год
५६४	564 год
५६१	561 год
३२८	328 год
३२५	325 год
३१७	317 год
५७४	574 год
५६६	566 год
२४९	249 год
३४८	348 год
४४२	442 год
४४३	443 год
२६७	267 год
२४४	244 год
२४८	248 год
३४३	343 год
५६२	562 год
४१७	417 год
२६८	268 год
५९०	590 год
२६९	269 год
४९९	499 год
मलाला युसुफजई	Юсуфзай, Малала
४०९	409 год
४०५	405 год
४०६	406 год
४०३	403 год
४१४	414 год
४११	411 год
४१२	412 год
५६०	560 год
५९२	592 год
२७६	276 год
३१४	314 год
३२३	323 год
३६६	366 год
३६२	362 год
५४५	545 год
५३१	531 год
५१४	514 год
५१३	513 год
५३९	539 год
५३८	538 год
५१९	519 год
५१६	516 год
५२०	520 год
५२२	522 год
५२८	528 год
५०६	506 год
५२६	526 год
५०७	507 год
२१४	214 год
२१३	213 год
२१२	212 год
२२८	228 год
२२७	227 год
१४९	149 год
१७४	174 год
१८९	189 год
१९९	199 год
१४१	141 год
१३२	132 год
१२५	125 год
१२३	123 год
१४७	147 год
१४४	144 год
१९८	198 год
१७८	178 год
१७७	177 год
१८७	187 год
१९५	195 год
१८६	186 год
३४७	347 год
६२०	620 год
६२४	624 год
६०५	605 год
६२९	629 год
६१६	616 год
६१५	615 год
६४४	644 год
६४६	646 год
६३३	633 год
६३७	637 год
मोघलसाम्राज्‍यम्	Империя Великих Моголов
४३६	436 год
४३४	434 год
२९३	293 год
४२७	427 год
सीकर	Сикар (город)
१८५	185 год
३२१	321 год
जालन्धर	Джаландхар
३२७	327 год
४३०	430 год
त्रोत्स्की	Троцкий, Лев Давидович
४४७	447 год
लिटिल् राक्	Литл-Рок (Арканзас)
५६९	569 год
हुब्बळ्ळी	Хубли-Дхарвад
५६८	568 год
४४४	444 год
७९६	796 год
७९८	798 год
एला	Кардамон
७९३	793 год
६८५	685 год
हार्टफ़र्ड्	Хартфорд (Коннектикут)
७९९	799 год
६८३	683 год
२७४	274 год
डोवर्, डेलावेर्	Довер (Делавэр)
५७९	579 год
कुमाँऊनी	Кумаони (язык)
२८१	281 год
३०६	306 год
४३८	438 год
कश्मीरी	Кашмирский язык
२९७	297 год
४२१	421 год
२९८	298 год
३५१	351 год
३५२	352 год
३५५	355 год
९५	95 год
९४	94 год
५९४	594 год
५४२	542 год
हेमा मालिनी	Хема Малини
४४८	448 год
